Result,Shooter,Shot.Clock,Shot.Contest,Shot.Location,Shot.Type,MadeShot,Points,ShotValue,ShotZone
Miss 3,#23 Greg Jones,5-0,Highly Contested,Right Wing 3,Step Back,FALSE,0,3,Above Break 3's
Miss 3,#32 Julen Iturbe,10-6,Highly Contested,Top of Key 3,Catch & Shoot,FALSE,0,3,Above Break 3's
Miss 3,#32 Julen Iturbe,10-6,Wide Open,Right Corner 3,Catch & Shoot,FALSE,0,3,Corner 3's
Made 2,#13 Carson McDonald,10-6,Wide Open,Rim,Layup,TRUE,2,2,In the Paint
Made 2,#23 Greg Jones,22+,Wide Open,Rim,Layup,TRUE,2,2,In the Paint
Miss 3,#12 Geoff Sprouse,21-11,Lightly Contested,Left Wing 3,Catch & Shoot,FALSE,0,3,Above Break 3's
Made 2,#23 Greg Jones,21-11,Lightly Contested,Rim,Layup,TRUE,2,2,In the Paint
Miss 2,#7 Wyatt Nausadis,5-0,Highly Contested,Left Wing 2,Pullup,FALSE,0,2,Mid Range 2's
Miss 2,#2 Madden Collins,21-11,Blocked,Rim,Layup,FALSE,0,2,In the Paint
Miss 3,#33 Matt Mayock,5-0,Lightly Contested,Right Wing 3,Catch & Shoot,FALSE,0,3,Above Break 3's
Made 3,#12 Geoff Sprouse,5-0,Wide Open,Right Corner 3,Catch & Shoot,TRUE,3,3,Corner 3's
Miss 2,#33 Matt Mayock,21-11,Blocked,Rim,Layup,FALSE,0,2,In the Paint
Miss 2,#13 Carson McDonald,21-11,Lightly Contested,Rim,Putback,FALSE,0,2,In the Paint
Made 2,#13 Carson McDonald,5-0,Highly Contested,Close Shot Middle,Pullup,TRUE,2,2,In the Paint
Made 2,#35 Chris Eagan,21-11,Highly Contested,Rim,Layup,TRUE,2,2,In the Paint
Miss 3,#23 Greg Jones,10-6,Wide Open,Right Wing 3,Pullup,FALSE,0,3,Above Break 3's
Miss 2,#7 Wyatt Nausadis,22+,Highly Contested,Rim,Layup,FALSE,0,2,In the Paint
